Stastic_use_course_num = ,1335,,,,,,,,,@
Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),@
CENG 1010,Academic and Professional Development I,0 Credit(s),,,,,,,,Students not studying in the Chemical and Biomolecular Engineering Department may enroll in this course subject to the course instructors approval. This course is designed to provide academic advising to students@ to enhance their understanding of the industries relevant to chemical engineers@ and to improve their communication skills. Students are required to attend discussion sessions with advisors and selected seminars. Graded P or F.,@
CENG 1500,A First Course on Materials Science and Applications,3 Credit(s),,MECH 2410@ PHYS 3040,,,,,,The scope of this course is to introduce different categories of materials and to elucidate their applications. We will start from the basic concepts of matter to the basic structures at molecular scale@ and then to the science and engineering of materials. The focus of the course is the structure/property relationship. The principles for designing and developing useful materials for special applications will be discussed.,@
CENG 1600,Biotechnology and Its Business Opportunities,3 Credit(s),,,,,,,,This course gives an introductory overview of biotechnology from both technical and business perspectives. It surveys the current landscape of medical biotechnology@ discusses the significant milestones in this field@ describes underlying scientific concepts@ and emphasizes the impact of innovations on human health and economy. Case studies are used to illustrate the opportunities and limitations in current and future biotechnology development. In addition@ experts from industry and academia are invited to give guest lectures on course-related topics.,@
CENG 1700,Introduction to Environmental Engineering,3 Credit(s),,CIVL 2410,,,,,,Fundamentals of environmental impact assessment will be discussed. Life cycle analysis of carbon and energy will be introduced using case studies. Principles of environmental engineering for control of air@ water@ solid and noise pollution will be discussed@ including global pollution@ pollution prevention and minimization. Cost of available technologies will be analyzed.,@
CENG 1800,Introduction to Food Science and Technology,3 Credit(s),,,,,,,,This experiential learning course consists of lectures@ experiments and design project. Lectures introduce food chemistry@ nutrition@ processing@ additives@ safety@ regulations@ genetically modified foods and healthy foods etc. Experiments and design project encourage students to learn by doing@ helping them obtain hands-on experiences and develop problem solving skills.,@
CENG 1980,Industrial Training,0 Credit(s),,,,,,,,A practical training course in an industrial simulated environment. For students of the Chemical and Biological Engineering Department only. Graded P@ PP or F.,@
CENG 2110,Process and Product Design Principles,3 Credit(s),,,,,,,,Processes and process variables@ engineering data@ and process representations. The conservation principle. Material and energy balances on non-reactive and reactive unit operations and process systems with recycles. Introduction to chemical product design.,@
CENG 2210,Chemical and Biological Engineering Thermodynamics,3 Credit(s),(MATH 1014 OR MATH 1020 OR MATH 1024) AND (PHYS 1111 OR PHYS 1112 OR PHYS 1312),,CHEM 1010 OR CHEM 1020,,[BLD] Blended learning,,,First law of thermodynamics for closed and open systems@ enthalpy and the energy equation. PVT data and thermodynamic properties@ methods for their estimation@ phase equilibria. Second and third laws of thermodynamics@ entropy and the Carnot engine. Examples from chemical and biological processes.,@
CENG 2220,Transport Phenomena I,3 Credit(s),PHYS 1111 OR PHYS 1112 OR PHYS 1312,MECH 2210,,,,,,Fundamentals of transport phenomena with emphasis on physical properties@ flow behavior and diffusive transport of fluids in chemical and biological systems. Engineering derivation and quantitative analysis of fluid transport in confined domains. Emphasis on practical application of transport phenomena in chemical and biological engineering. Use of software for solving problems in transport phenomena.,@
CENG 2310,Modeling for Chemical and Biological Engineering,3 Credit(s),MATH 1014 OR MATH 1020 OR MATH 1024,,,BIEN 2310,[BLD] Blended learning,,,Modeling of physical@ chemical and biological processes. Balance Equations. Dimensional and scaling analysis. Analytical and numerical solutions to initial and boundary value problems. Use of computer tools for engineering calculations. This course uses examples in the Chemical or Environmental Engineering disciplines. For CENG and CEEV students only.,@
CENG 3110,Process Dynamics and Control,3 Credit(s),CENG 2110,ELEC 3200@ MECH 3610,,,,CENG 4120,,Basic concepts@ mathematical model@ transfer function. Dynamics of first - and higher-order systems. Feedback control@ controller tuning@ frequency response methods. Cascade control@ feedforward and ratio control. Introduction to computer control and multi-variable control. Control and instrumentation hardware.,@
CENG 3120,Process Design and Integration,3 Credit(s),CENG 2110,,,,,,,Conceptual design of chemical processes. Flowsheet synthesis@ selection and analysis. Short-cut methods@ steady-state simulation@ computer-aided design tools. Heat-exchanger networks@ energy integration. Batch and continuous process design. Case studies and non-traditional applications.,@
CENG 3150,Integrated Chemical Process and Product Design,5 Credit(s),CENG 2110,,,,[EXP] Experiential learning,,,Conceptual design of chemical processes and products. Integration of prior knowledge in the execution of a structured design project@ under the direct guidance of faculty. Project topics encompass both process and product design with different emphases. Design tasks include literature and market survey@ ideation@ feasibility and viability studies@ prototyping and/or simulation@ unit operation or component design@ planning and project management@ and societal and environmental impact assessment. Emphasis on the design process@ hands-on experimentation@ teamwork@ and self-learning.,@
CENG 3210,Separation Processes,3 Credit(s),CENG 2110 AND CENG 2210,,,,,,,Phase equilibria. Ideal and nonideal mixtures. Thermodynamic properties and VLE from equations of state. Liquid-liquid and liquid-solid systems. Stage process@ short-cut and rigorous calculations in absorption@ distillation or extraction. Continuous contacting processes. Separation sequences. Simulation and design.,@
CENG 3220,Transport Phenomena II,3 Credit(s),CENG 2220,MECH 3310,,,,,,Application of transport phenomena in chemical processes. Fluid flow in pipes and channels. Conductive@ forced and free convective@ and radiative heat transfer. Diffusive and convective mass transport. Coupling of transport and chemical reactions. Analysis and design of heat exchangers and contacting processes for separation and reaction. Numerical solutions and simulations of complex systems.,@
CENG 3230,Chemical and Biological Reaction Engineering,3 Credit(s),CHEM 1010 OR CHEM 1020,,,,,,,Stoichiometry and reaction equilibria. Homogeneous reactions kinetics. Mole balances: batch@ continuous-stirred tank and plug flow reactors. Collection and analysis of rate data. Catalytic and enzymatic reaction kinetics and reactor design. Diffusion effects. Examples from chemical and biological processes.,@
CENG 3300,Data Science for Molecular Engineering,3 Credit(s),BIEN 2310 OR CENG 2310,LIFS 3150@ MATH 2411,,,,,BIEN 3300,Mathematical methods for data science; Data processing and presentation; Supervised learning@ including nearest neighbor methods@ linear and nonlinear regression; Introduction to deep learning and neural networks.,@
CENG 3910,Chemical Engineering Laboratory I,3 Credit(s),,,CENG 2110,,,,,Measurements and instrumentation. Data analysis@ error analysis. Safety and risk assessment including PID analysis. Designing@ assembling@ testing and dissembling selected experimental rigs. Hazard and operability studies. A wide range of process experimentation. Written and oral presentations. Teamwork Training. Language Center Interaction for Report Writing. Library Workshop and Library Exercise.,@
CENG 3920,Chemical Engineering Laboratory II,3 Credit(s),CENG 3910,,,,,,,This course is natural continuation of CENG 3910@ but students will specialize further in the field of Chemical Engineering. The course will give the students opportunities to conduct Q&A Safety Reviews and make a major presentation.,@
CENG 3926,Biomolecular Engineering Laboratory,3 Credit(s),CENG 3910 AND (Level 3 in HKDSE 1x Biology OR LIFS 1901),,,,,,,Introduction of molecular biotechnology from an engineering perspective. Laboratory experiments including bacterial culturing@ DNA extraction@ purification@ transformation@ cloning@ gel electrophoresis and Polymerase Chain Reaction will be conducted. Cutting edge engineering-based applications such as chip-PCR@ DNA microarray@ bioreactor@ and manufacturing and characterization of pharmaceuticals will be introduced.,@
CENG 3927,Environmental Engineering Laboratory,3 Credit(s),CENG 3910,,,,,,,This course is a natural continuation of CENG 3910@ but students will specialize in laboratory experiments in the field of Environmental Engineering. The course will give the students opportunities to conduct Q&A Safety Reviews and make a major presentation.,@
CENG 3950,Chemical and Environmental Engineering Laboratory,4 Credit(s),CENG 2110,,CENG 3210 AND CENG 3230,,,,,Integrated laboratory course for students in Chemical Engineering and Chemical and Environmental Engineering. Experimental modules on various unit operations and processes in chemical engineering and environmental engineering. Laboratory safety and risk assessment. Proper handling and interpretation of experimental data.,@
CENG 4000,Special Topics,3 Credit(s),,,,,,,,Selected topics of current interest. May be graded by letter or DI/PA/F subject to different offerings.,@
CENG 4020,Academic and Professional Development II,0 Credit(s),,,,,,,,Students not studying in the Chemical and Biomolecular Engineering Department may enroll in this course subject to the course instructors approval. This course is designed to provide academic advising to students@ to enhance their understanding of the industries relevant to chemical engineers@ and to improve their communication skills. Students are required to attend discussion sessions with advisors and selected seminars. Graded P or F.,@
CENG 4130,Plant Design and Economics,3 Credit(s),CENG 2110,,,,,,,Computer-aided-design and process evaluation. Risk assessment@ qualitative and quantitative assessment. Hazop@ Hazan@ FMEA@ decision tree@ fault tree@ reliability.  Toxicity@ dispersion@ fire@ explosion@ relief. Workplace safety. Plant safety and hazard analysis. Plant equipment specification and selection. Cost estimation and profitability analysis. Project evaluation. Cost optimization. Environmental control.,@
CENG 4140,Energy Resources@ Conversions and Technologies,3 Credit(s),CHEM 1010 OR CHEM 1020,,,,,,,The course will provide the fundamental knowledge of energy resources@ their conversions and utilization technologies.Basic thermodynamics such as fuel and combustion models@ measurement techniques will be taught to enable students to manage basic conversion calculations and to evaluate different energy utilization options. The course will also cover topics in green energies and fuels@ providing an outlook of future energy uses.,@
CENG 4150,Product and Process Design in Chemical and Biological Engineering,3 Credit(s),CENG 2220 AND CENG 3210 AND CENG 3230,,CENG 3220,,,,,This course covers conceptualization@ design@ manufacture@ and launch of chemical and biological products. These include molecular products@ devices@ functional@ and formulated products. Relevant business and project management concepts are introduced.,@
CENG 4540,Nanomaterials and Applications in Chemical Engineering,3 Credit(s),CENG 3210 and CENG 3230,CENG 5840@ NANO 5350,,,,,,Introduction to nanostructured materials and nanotechnology. Synthesis and characterization of nanostructured materials. Selected applications of nanostructured materials in chemical engineering.,@
CENG 4620,Bioproducts and Processing,3 Credit(s),,,,,,,,Survey of bioproducts@ cellular production hosts@ production techniques (bioreactors)@ separation and purification processes@ product formulation@ product and process design.,@
CENG 4630,Food Processing Technology,3 Credit(s),,,,,,,,Principles of Food Spoilage and Preservation@ Thermal Processing (blanching@ pasteurization@ sterilization@ aseptic UHT processing.)@ Chilling & Freezing@ Dehydration@ Separation and concentration@ Fermentation@ and concept of hurdle technology.,@
CENG 4640,Biomolecular Engineering,3 Credit(s),CENG 2210 AND CENG 3230 AND (Level 3 in HKDSE 1x Biology OR LIFS 1901),,,,,,,Students not studying in the Department of Chemical Engineering may enroll in the course upon instructor#s approval. Molecular biology@ protein engineering@ enzyme kinetics@ thermodynamics and energetics of biological systems@ molecular and cellular processes@ bioreaction networks and metabolic engineering.,@
CENG 4670,Pharmaceutical Engineering,3 Credit(s),CHEM 1010 OR CHEM 1020,,,,,,,Survey of western pharmaceuticals; pharmaceutical processing technologies including reactions and separations; enantiomers and chiral separations; polymorphs and solid state pharmaceuticals; pharmaceutical dosage forms including tablets@ capsules and transdermal patches; traditional Chinese medicine processing.,@
CENG 4710,Environmental Control,3 Credit(s),CHEM 1010 OR CHEM 1020,,,,,,,Wastes from the process industries. Behavior of toxic chemicals in atmospheric@ soil and aquatic environments. Adsorption/desorption@ air stripping@ steam stripping@ supercritical extraction. Pyrolysis@ biological@ catalyzed and uncatalyzed reactions.  Integrated environmental control. Instructor#s approval is required for non-CBME students# enrollment in the course.,@
CENG 4720,Environmental Impact Assessment and Management Systems,3 Credit(s),CENG 1700 or CIVL 1140,CIVL 4430,,,,,,This course will review the methods for assessing environmental impacts.  Impact and management systems will be discussed in the context of both HK and international environmental legislation@ which incorporates Licensing@ BATNEEC@ integrated pollution control@ environmental management and auditing systems based on ISO 14000.  Actual case studies from the process industries will be discussed.,@
CENG 4911,Chemical Engineering Project,7 Credit(s),CENG 3120 AND CENG 3910 AND LANG 2030,,,,,,,A one year long final year project involves the application of Chemical Engineering principles to the design@ planning@ experimental or analytical investigation of current engineering design and research problems. Working in small teams and individually under supervision@ students are expected to demonstrate creative and critical powers through choices and decisions made in areas of uncertainty. Students should have normally completed the second year program. Credit load will be spread over the year.,@
CENG 4912,Chemical and Environmental Engineering Project,7 Credit(s),CENG 3120 AND CENG 3910 AND LANG 2030,,,,,,,A one year long final year project involves the application of Chemical and Environmental Engineering principles to the design@ planning@ experimental or analytical investigation of current engineering design and research problems.   Working in small teams and individually under supervision@ students are expected to demonstrate creative and critical powers through choices and decisions made in areas of uncertainty. Students should have normally completed the second year program. Credit load will be spread over the year.,@
CENG 4913,Chemical and Biomolecular Engineering Project,7 Credit(s),CENG 3120 AND CENG 3910 AND LANG 2030,,,,,,,A one year long final year project involves the application of Chemical and Bioproduct Engineering principles to the design@ planning@ experimental or analytical investigation of current engineering design and research problems.   Working in small teams and individually under supervision@ students are expected to demonstrate creative and critical powers through choices and decisions made in areas of uncertainty. Students should have normally completed the second year program. Credit load will be spread over the year.,@
CENG 4920,Chemical Engineering Capstone Design,6 Credit(s),BIEN 3910 OR CENG 3950,CENG 4930@ CENG 4940,,,,,,A final-year project course offers practice of chemical engineering design through a group design project chosen to integrate materials covered in the curriculum. Credit load may be spread over a year. May be graded PP. For students in Chemical Engineering@ Chemical and Environmental Engineering and Chemical and Biomolecular Engineering.,@
